S.no,Area of exposure (AE) sq. m ,Depth of cover (DOC) m,RMR,Gallery Width,Inter-sectional Span (IS) m,Roof Fall Rate
0,3150,396,64,6,7.2,1500
1,2600,380,64,6,7.1,1460
2,3100,380,64,6,7.1,1600
3,2750,376,64,6.13,7.2,1600
4,3500,376,64,6.1,7.2,2250
5,3750,397,64,6.1,7.2,3000
6,3200,396,64,6.2,7.2,2500
7,1500,385,64,6.2,7.2,500
8,1600,376,64,6.3,7.2,1600
9,3500,385,64,6.3,7.2,2200
10,3250,376,64,6.3,7.1,2000
11,2500,376,64,6.3,7.1,2500
12,2000,370,64,6.1,7.1,1500
13,2500,376,64,6.1,7.1,1750
14,1900,396,64,6.2,7.1,1200
15,2000,397,64,6.2,7.1,1500
16,1500,397,64,6,7.1,1000
17,3250,396,64,6.2,7.1,3000
18,2250,379,64,6.2,7.1,2000
19,1250,376,64,6.2,7.1,1250
20,2200,379,64,6,7.1,1600
21,1100,380,64,6.2,7.1,600
22,1950,380,64,6,7.1,1500
23,3200,385,64,6.2,7.2,2500
24,2100,370,64,6.1,7.1,1600
25,3150,396,64,6,7.2,1500
26,1800,397,64,6.3,7.1,1800
27,2500,370,64,6.1,7.2,1750
28,3500,385,64,6.3,7.2,2250
29,3500,376,64,6.1,7.2,2200
30,1900,397,64,6.3,7.1,600
31,2500,370,64,6.2,7.1,2500
32,3800,385,64,6.3,7.2,1600
33,2100,396,64,6,7.1,1500
34,2400,370,64,6.3,7.1,2000
35,3950,396,64,6.1,7.2,3000
36,2700,380,64,6.2,7.1,2500
37,1500,376,64,6.2,7.1,500
38,2150,397,64,6.2,7.1,1500
39,3150,396,64,6.3,7.1,2150
40,2600,376,64,6.1,7.1,2000
41,5350,379,64,6,7.1,4000
42,2750,376,64,6.13,7.2,1600
43,3850,385,64,6.2,7.2,1500
44,3550,376,64,6.1,7.2,2000
45,5150,380,64,6.2,7.1,4500
46,5250,379,64,6,7.1,4000
47,1550,397,64,6.2,7.1,1000
48,2950,376,64,6.3,7.2,1500
49,1350,385,64,6.2,7.1,500
50,3300,380,64,6,7.2,2000
51,2000,370,64,6.2,7.1,1000
52,3000,380,64,6,7.2,1500
53,3000,385,64,6.3,7.2,2000
54,5000,379,64,6,7.1,3300
55,6000,397,64,6.1,7.2,3000
56,5450,380,64,6.2,7.1,4200
57,5200,396,64,6,7.1,3500
58,3450,385,64,6.1,7.1,1450
59,3550,376,64,6.1,7.2,1600
60,2350,397,64,6.3,7.1,1700
61,3350,380,64,6.2,7.1,2000
62,3050,380,64,6,7.1,1000
63,2050,370,64,6.2,7.2,2050
64,5050,396,64,6.2,7.1,4500
65,6050,397,64,6.1,7.2,3500
66,1400,385,64,6.3,7.2,1400
67,2600,376,64,6.3,7.1,2600
68,5600,379,64,6,7.1,3500
69,5450,380,64,6.2,7.1,4000
70,5300,379,64,6,7.1,4500
71,2300,370,64,6.2,7.1,1500
72,3300,396,64,6,7.2,1750
73,5000,379,64,6.2,7.1,2500
74,3500,385,64,6.1,7.2,2000
75,2600,370,64,6.3,7.1,2600
76,2700,376,64,6.3,7.1,1600
77,2850,397,64,6.13,7.2,1800
78,3750,376,64,6.3,7.2,2000
79,3600,396,64,6,7.1,2500
80,1900,397,64,6.3,7.1,1000
81,1250,376,64,6.2,7.1,500
82,3100,380,64,6.3,7.2,1300
83,6500,397,64,6.1,7.2,3000
84,6250,397,64,6.1,7.2,3200
85,2650,370,64,6.13,7.1,1200
86,3800,385,64,6,7.2,1550
87,5350,396,64,6.2,7.1,3000
88,5100,380,64,6,7.1,4000
89,1600,385,64,6.2,7.2,1600
90,1700,397,64,6.3,7.2,1000
91,1350,376,64,6.2,7.1,1350
